,Coinpair,Close,Volume,50DSMA,200DSMA,MarketPhase
2022-11-24,1INCHBUSD,0.533,1669334399999.0,0.5710000000000001,0.6893250000000001,bearish
2022-11-24,AAVEBUSD,58.3,1669334399999.0,73.76400000000001,82.32600000000001,bearish
2022-11-24,ACABUSD,0.136,1669334399999.0,0.14926999999999999,0.2477975,bearish
2022-11-24,ACHBUSD,0.00963,1669334399999.0,0.0110216,0.01330195,bearish
2022-11-24,ACMBUSD,2.471,1669334399999.0,3.01972,3.5229500000000002,bearish
2022-11-24,ADABUSD,0.3167,1669334399999.0,0.36945999999999996,0.46305599999999997,bearish
2022-11-24,ADXBUSD,0.129,1669334399999.0,0.151204,0.1741835,bearish
2022-11-24,AERGOBUSD,0.1127,1669334399999.0,0.12905,0.133833,bearish
2022-11-24,AGLDBUSD,0.258,1669334399999.0,0.29866,0.388185,bearish
2022-11-24,ALCXBUSD,17.2,1669334399999.0,20.078,25.114,bearish
2022-11-24,ALGOBUSD,0.2435,1669334399999.0,0.31843,0.34133800000000003,bearish
2022-11-24,ALICEBUSD,1.229,1669334399999.0,1.4779399999999998,2.16473,bearish
2022-11-24,ALPACABUSD,0.2357,1669334399999.0,0.269858,0.2697195,distribution
2022-11-24,ALPHABUSD,0.0893,1669334399999.0,0.1073,0.12701,bearish
2022-11-24,ALPINEBUSD,2.6624,1669334399999.0,3.0103160000000004,3.134188,bearish
2022-11-24,AMPBUSD,0.00356,1669334399999.0,0.004475799999999999,0.0076269,bearish
2022-11-24,ANCBUSD,0.05257,1669334399999.0,0.0744066,0.1222726,bearish
2022-11-24,ANKRBUSD,0.0236,1669334399999.0,0.0266086,0.0319228,bearish
2022-11-24,ANTBUSD,1.892,1669334399999.0,1.76832,1.7624199999999999,bullish
2022-11-24,APEBUSD,3.388,1669334399999.0,4.1684,5.339455500000001,bearish
2022-11-24,API3BUSD,1.474,1669334399999.0,1.6423599999999998,1.7336449999999999,bearish
2022-11-24,ARBUSD,9.43,1669334399999.0,10.261800000000001,11.6929,bearish
2022-11-24,ARPABUSD,0.02758,1669334399999.0,0.0318304,0.03522255,bearish
2022-11-24,ASTRBUSD,0.0405,1669334399999.0,0.037892,0.045018,recovery
2022-11-24,ATABUSD,0.1083,1669334399999.0,0.13921,0.1631565,bearish
2022-11-24,ATMBUSD,2.68,1669334399999.0,3.2908000000000004,3.8387000000000002,bearish
2022-11-24,ATOMBUSD,10.061,1669334399999.0,11.96024,11.043164999999998,distribution
2022-11-24,AUCTIONBUSD,5.09,1669334399999.0,5.533199999999999,6.4876,bearish
2022-11-24,AUDBUSD,0.6747,1669334399999.0,0.64594,0.6781975,recovery
2022-11-24,AUDIOBUSD,0.1554,1669334399999.0,0.181646,0.29960149999999997,bearish
2022-11-24,AUTOBUSD,257.2,1669334399999.0,218.082,252.6425,accumulation
2022-11-24,AVABUSD,0.599,1669334399999.0,0.68306,0.705925,bearish
2022-11-24,AVAXBUSD,13.06,1669334399999.0,15.675800000000002,20.59485,bearish
2022-11-24,AXSBUSD,6.82,1669334399999.0,9.0966,14.407449999999999,bearish
2022-11-24,BADGERBUSD,2.68,1669334399999.0,3.1484000000000005,3.9662,bearish
2022-11-24,BAKEBUSD,0.1868,1669334399999.0,0.21753,0.2646835,bearish
2022-11-24,BALBUSD,5.627,1669334399999.0,5.787100000000001,6.097,bearish
2022-11-24,BANDBUSD,1.789,1669334399999.0,1.5437,1.49739,bullish
2022-11-24,BARBUSD,3.63,1669334399999.0,4.4028,4.87415,bearish
2022-11-24,BATBUSD,0.2297,1669334399999.0,0.2743,0.3488055,bearish
2022-11-24,BCHBUSD,115.7,1669334399999.0,110.178,130.315,recovery
2022-11-24,BELBUSD,0.435,1669334399999.0,0.50788,0.6765000000000001,bearish
2022-11-24,BETABUSD,0.08101,1669334399999.0,0.08167719999999999,0.10612295,bearish
2022-11-24,BICOBUSD,0.288,1669334399999.0,0.36442,0.505525,bearish
2022-11-24,BIFIBUSD,343.6,1669334399999.0,347.564,427.70349999999996,bearish
2022-11-24,BNBBUSD,298.6,1669334399999.0,288.442,279.0015,bullish
2022-11-24,BNTBUSD,0.364,1669334399999.0,0.41916,0.628425,bearish
2022-11-24,BNXBUSD,169.0,1669334399999.0,149.48,136.1965,bullish
2022-11-24,BONDBUSD,3.861,1669334399999.0,4.52058,5.381495,bearish
2022-11-24,BSWBUSD,0.2097,1669334399999.0,0.236848,0.34302750000000004,bearish
2022-11-24,BTCBUSD,16584.72,1669334399999.0,18780.872199999998,22039.2883,bearish
2022-11-24,BTCSTBUSD,6.94,1669334399999.0,7.941600000000001,9.99585,bearish
2022-11-24,BTTCBUSD,6.8e-07,1669334399999.0,7.534000000000001e-07,8.847e-07,bearish
2022-11-24,BURGERBUSD,0.577,1669334399999.0,0.76168,1.045835,bearish
2022-11-24,C98BUSD,0.2467,1669334399999.0,0.299894,0.4447995,bearish
